"sp","protocol","lat","lon","date","count"
"rubl","ebird",41.4595266,-72.9196887,2014-03-13,"8"
"rubl","ebird",41.427116,-72.82842,2014-03-08,"1"
"rubl","ebird",41.427116,-72.82842,2014-03-02,"1"
"rubl","ebird",41.3550198,-72.9163456,2014-03-09,"1"
"rubl","blitz",41.3550198,-72.9163456,2014-03-21,"1"
"rubl","blitz",41.3550198,-72.9163456,2014-03-21,"12"
"rubl","ebird",41.4595266,-72.9196887,2014-03-01,"55"
"rubl","ebird",41.62085,-72.35891,2014-03-29,"1"
"rubl","ebird",41.7131282,-71.8335526,2014-03-01,"8"
"rubl","ebird",41.7131282,-71.8335526,2014-03-01,"8"
"rubl","ebird",41.7135981,-71.8334444,2014-03-02,"3"
"rubl","ebird",41.7131282,-71.8335526,2014-03-02,"9"
"rubl","ebird",41.7131282,-71.8335526,2014-03-03,"8"
"rubl","ebird",41.7131282,-71.8335526,2014-03-03,"8"
"rubl","ebird",41.7146989,-71.8340421,2014-03-02,"2"
"rubl","blitz",41.7131282,-71.8335526,2014-03-17,"3"
"rubl","ebird",41.7131282,-71.8335526,2014-03-17,"3"
"rubl","ebird",41.7131282,-71.8335526,2014-03-05,"1"
"rubl","ebird",41.7131282,-71.8335526,2014-03-05,"1"
"rubl","blitz",41.9256637,-72.1078634,2014-03-05,"X"
"rubl","ebird",41.7131282,-71.8335526,2014-03-04,"12"
"rubl","ebird",41.7131282,-71.8335526,2014-03-30,"4"
"rubl","ebird",41.7131282,-71.8335526,2014-03-06,"1"
"rubl","ebird",41.7131282,-71.8335526,2014-03-30,"4"
"rubl","ebird",41.7131282,-71.8335526,2014-03-07,"10"
"rubl","ebird",41.9253983,-72.1077347,2014-03-22,"10"
"rubl","ebird",41.902,-72.07982,2014-03-22,"10"
"rubl","ebird",38.8901142,-77.043364,2014-03-09,"1"
"rubl","ebird",38.9133204,-76.9443433,2014-03-15,"1"
"rubl","ebird",38.9133204,-76.9443433,2014-03-02,"1"
"rubl","ebird",38.929366,-77.050554,2014-03-11,"20"
"rubl","ebird",38.9133204,-76.9443433,2014-03-23,"2"
"rubl","ebird",38.9133204,-76.9443433,2014-03-23,"2"
"rubl","ebird",38.8961,-77.0626,2014-03-28,"15"
"rubl","ebird",38.9133204,-76.9443433,2014-03-27,"2"
"rubl","ebird",38.9133204,-76.9443433,2014-03-02,"6"
"rubl","ebird",38.9133204,-76.9443433,2014-03-20,"3"
"rubl","ebird",38.9133204,-76.9443433,2014-03-19,"2"
"rubl","blitz",38.9133204,-76.9443433,2014-03-19,"3"
