"sp","protocol","lat","lon","date","count"
"rubl","ebird",38.9450248,-74.9337747,2009-01-30,"6"
"rubl","ebird",39.0015934,-74.9446321,2009-01-31,"50"
"rubl","ebird",38.942588,-74.9355769,2009-01-30,"9"
"rubl","ebird",39.0015934,-74.9446321,2009-01-25,"22"
"rubl","ebird",39.006093,-74.940673,2009-01-25,"20"
"rubl","ebird",39.0015934,-74.9446321,2009-01-31,"60"
"rubl","ebird",39.0015934,-74.9446321,2009-01-25,"55"
"rubl","ebird",39.3826102,-75.2975464,2009-01-11,"10"
"rubl","ebird",40.6558341,-74.9534512,2009-01-18,"22"
"rubl","ebird",40.2079425,-74.5037091,2009-01-04,"2"
"rubl","ebird",40.6644286,-74.5545959,2009-01-03,"X"
"rubl","ebird",40.6747055,-74.3155518,2009-01-21,"5"
"rubl","ebird",40.8681047,-73.809474,2009-01-31,"1"
"rubl","ebird",43.2762602,-77.684471,2009-01-03,"1"
"rubl","ebird",40.6994398,-73.4519019,2009-01-25,"1"
"rubl","ebird",40.6994398,-73.4519019,2009-01-03,"1"
"rubl","ebird",40.6724362,-73.6499405,2009-01-29,"3"
"rubl","ebird",40.6724362,-73.6499405,2009-01-31,"1"
"rubl","ebird",40.7013226,-73.8513368,2009-01-01,"1"
"rubl","ebird",40.7473874,-73.7429518,2009-01-11,"2"
"rubl","ebird",40.7013226,-73.8513368,2009-01-10,"1"
"rubl","ebird",40.7013226,-73.8513368,2009-01-09,"1"
"rubl","ebird",40.7013226,-73.8513368,2009-01-29,"1"
"rubl","ebird",40.7586408,-73.7594122,2009-01-01,"X"
"rubl","ebird",41.079361,-72.4004135,2009-01-10,"2"
"rubl","ebird",41.0795555,-72.4394913,2009-01-10,"6"
"rubl","ebird",42.4346276,-76.5116732,2009-01-15,"1"
"rubl","ebird",41.1669904,-73.7725818,2009-01-06,"1"
"rubl","ebird",39.3658364,-84.4387561,2009-01-28,"1"
"rubl","ebird",39.9396109,-83.8298035,2009-01-18,"3"
"rubl","ebird",38.9397842,-84.1056633,2009-01-05,"2"
"rubl","ebird",38.829612,-84.061203,2009-01-28,"X"
"rubl","ebird",40.096543,-83.1095188,2009-01-29,"1"
"rubl","ebird",39.2782583,-84.7495461,2009-01-19,"25"
"rubl","ebird",39.1295276,-84.7968149,2009-01-01,"15"
"rubl","ebird",39.2782583,-84.7495461,2009-01-17,"10"
"rubl","ebird",41.6081267,-83.2374001,2009-01-17,"6"
"rubl","ebird",39.572527,-82.043049,2009-01-24,"1"
"rubl","ebird",39.572527,-82.043049,2009-01-28,"1"
"rubl","ebird",39.572527,-82.043049,2009-01-29,"1"
"rubl","ebird",39.572527,-82.043049,2009-01-31,"1"
"rubl","ebird",39.7623667,-82.8527069,2009-01-21,"1"
"rubl","ebird",39.6747036,-82.9372628,2009-01-26,"1"
"rubl","ebird",39.4374229,-82.8659365,2009-01-01,"1"
"rubl","ebird",40.8532931,-81.4993286,2009-01-02,"1"
"rubl","ebird",39.5643905,-84.0149928,2009-01-31,"1"
"rubl","ebird",39.5643905,-84.0149928,2009-01-31,"1"
"rubl","ebird",39.5012592,-84.0542507,2009-01-03,"120"
"rubl","ebird",40.7138257,-83.3016014,2009-01-02,"1"
"rubl","ebird",35.9007834,-95.2544689,2009-01-07,"5"
"rubl","ebird",35.91883,-95.24769,2009-01-17,"80"
"rubl","ebird",35.6436262,-94.986248,2009-01-24,"X"
"rubl","ebird",33.739399,-94.6530991,2009-01-13,"14"
"rubl","ebird",33.739399,-94.6530991,2009-01-20,"2"
"rubl","ebird",33.739399,-94.6530991,2009-01-28,"5"
"rubl","ebird",35.097,-97.00283,2009-01-31,"2"
"rubl","ebird",35.3827522,-94.4900608,2009-01-24,"174"
"rubl","ebird",35.9504128,-95.298439,2009-01-08,"22"
"rubl","ebird",35.9504128,-95.298439,2009-01-22,"28"
"rubl","ebird",35.9504128,-95.298439,2009-01-30,"2"
"rubl","ebird",39.8084042,-75.7608604,2009-01-19,"X"
"rubl","ebird",40.1406964,-77.4063259,2009-01-20,"3"
"rubl","ebird",40.1406964,-77.4063259,2009-01-26,"1"
"rubl","ebird",40.1406964,-77.4063259,2009-01-26,"X"
"rubl","ebird",40.1406964,-77.4063259,2009-01-26,"X"
"rubl","ebird",39.9046172,-75.4664719,2009-01-31,"1"
"rubl","ebird",39.9027901,-75.1819754,2009-01-02,"5"
"rubl","ebird",39.9027901,-75.1819754,2009-01-31,"X"
"rubl","ebird",40.088122,-75.2222627,2009-01-01,"1"
"rubl","ebird",40.088122,-75.2222627,2009-01-01,"1"
"rubl","ebird",39.8893501,-75.2601457,2009-01-17,"1"
"rubl","ebird",40.088122,-75.2222627,2009-01-10,"1"
"rubl","ebird",39.9027901,-75.1819754,2009-01-13,"6"
"rubl","ebird",39.9027901,-75.1819754,2009-01-24,"15"
"rubl","ebird",39.8893501,-75.2601457,2009-01-10,"11"
"rubl","ebird",40.5274526,-76.4663565,2009-01-11,"1"
"rubl","ebird",41.3704727,-71.5751266,2009-01-16,"1"
"rubl","ebird",41.382476,-71.5821075,2009-01-06,"X"
"rubl","ebird",32.3245566,-80.8250856,2009-01-26,"8"
"rubl","ebird",32.3245566,-80.8250856,2009-01-26,"8"
"rubl","ebird",32.5202,-80.3657,2009-01-17,"1"
"rubl","ebird",32.5202,-80.3657,2009-01-18,"3"
"rubl","ebird",32.7911393,-79.9935097,2009-01-20,"3"
"rubl","ebird",32.7038313,-80.6007189,2009-01-23,"X"
"rubl","ebird",34.7738889,-82.3511111,2009-01-18,"70"
"rubl","ebird",34.7738889,-82.3511111,2009-01-05,"2"
"rubl","ebird",34.7738889,-82.3511111,2009-01-27,"44"
"rubl","ebird",34.7738889,-82.3511111,2009-01-19,"70"
"rubl","ebird",34.984049,-82.2671442,2009-01-10,"1"
"rubl","ebird",34.91203,-82.24901,2009-01-24,"30"
